Ctime,Freq,Array,Offset X,Error Offset X,Offset Y,APEX T,APEX T 2 hr ago,Elevation 2 hr ago,Azimuth 2 hr ago,Angular Distance 2 hr ago,Azimuth Sun 2 hr ago,Elevation Sun 2 hr ago,Error Offset Y,Modulus Offset,Elevation,Azimuth,T_Pan_R8_6,T_Pan_R8_3,T_Pan_R7_8,T_Pan_R7_5,T_Pan_R7_3,T_Pan_R6_6,T_Pan_R6_3,T_Pan_R5_9,T_Pan_R5_5Lo,T_Pan_R5_5Hi,T_Pan_R4_6,T_Pan_R4_3,T_Pan_R3_7,T_Pan_R3_5,T_Pan_R3_1,T_Pan_R2_6,T_Pan_R2_2,T_Pan_R1_2,Elevation Sun,Azimuth Sun,Angular Distance
1537682468.0,150,ar4,0.1408,0.0129,0.4657,-0.990909090909091,-0.2636363636363636,0.7004006288253245,1.219112482518039,2.4390653623323493,3.3886244517167334,-1.1583050450759567,0.0129,0.486519403518503,0.7004006288253245,1.146855851485474,1.741039740018906,9.68650800607671,2.590584123809581,-2.1538217985070505,-0.6238248466731711,0.778593144142374,1.5083829435692455,0.23348921928252722,0.5559536469147367,0.40792783222799406,-0.06859559560007125,1.8423436870973777,-0.18693071151282745,-0.4962362467518108,0.5136265505683675,2.1459009458304594,-0.7930004271730894,-0.2094006227952127,-0.9940232250473576,2.282923865672009,1.944058906780335
1537683126.0,150,ar4,0.1027,0.01,0.4629,-1.3181818181818181,-0.8181818181818182,0.7004006288253245,1.063429113240145,2.4513883991781067,3.2698200625784657,-1.1664858521956987,0.0106,0.4741557760905165,0.7004006288253245,1.146855851485474,1.8092621927995034,10.47683145548574,2.507288404366839,-2.232886711598541,-0.6987585363656197,0.7050358020941948,1.4426519008139833,0.16809169928350187,0.48428527559807233,0.3364496364103971,-0.12016875894201653,1.9778436623434545,-0.20572536536008337,-0.5456714955515669,0.47901223286321437,2.0989815371328238,-0.8376848266645681,-0.222019567353903,-0.9597727887645422,2.2231553615839847,1.8962386665084647
1537685712.0,150,ar4,0.1259,0.0133,0.4435,-1.1636363636363636,-0.7727272727272727,0.8548622676268226,0.6021385919380436,2.5796723653189013,2.800695782154057,-1.147488717837517,0.0158,0.4610239256264256,0.7004006288253245,1.146855851485474,1.6000302966942739,10.007654227309121,2.625450870601483,-2.4167143144258745,-0.8716593229947208,0.5207824168870483,1.2709675328024441,0.010884986900541481,0.3340402290574187,0.11955204403908001,-0.29249103528441817,1.7445302424658142,-0.34234234682089615,-0.7460374449046471,0.37283969529656547,1.9953040337338463,-0.9285090059871351,-0.301550561236024,-0.8125312715011765,2.0369726991486385,1.7082910149569095
1537686370.0,150,ar4,0.1674,0.0144,0.5415,-1.1636363636363636,-0.6363636363636364,0.7004006288253245,1.1510446416902604,2.1820453482155995,2.693732049832669,-1.1304885302976562,0.0154,0.5667848004313453,0.7004006288253245,1.146855851485474,1.4922006524103333,9.928901574389384,2.5541028864347206,-2.494789245320171,-0.9526871090282425,0.4413177992758651,1.189852771038622,-0.06171188546015048,0.25053800682593097,0.03600584690641855,-0.37543440157624974,1.6223374323246336,-0.42412687705351354,-0.823548169835928,0.30208087147330925,1.9280791567305333,-0.9896253672469427,-0.36854619766205393,-0.7727636572765664,1.9990225580204932,1.6604668130195837
1537687706.0,150,ar4,0.1147,0.008,0.4758,-1.2545454545454544,-1.0545454545454547,0.7004006288253245,1.1908381486357311,2.0691456951058376,2.5024680932011893,-1.083967424162068,0.0079,0.4894300052101424,0.7004006288253245,1.146855851485474,1.3960840999571542,10.260364469339232,2.385790876937942,-2.667474952762914,-1.122189164515062,0.27428661758018474,1.0235159638879456,-0.22172987389519908,-0.006200174647974033,-0.129380347004491,-0.5330770174940643,1.573337653964204,-0.5516039546671624,-0.9745399948197008,0.17241813118022822,1.8013135924256376,-1.1062236208311067,-0.4755009966199653,-0.6900679540351469,1.93037117831835,1.5633642319224377
1537691720.0,150,ar4,0.1343,0.0093,0.5049,-1.9363636363636365,-0.9727272727272727,0.7004006288253245,1.2154472910888512,1.7675551476570286,2.114462034655129,-0.8824814912159411,0.0086,0.5224562182613965,0.7004006288253245,0.9286896949861828,1.3573229763406978,12.358638170888534,2.1911409670869237,-2.8231663457484317,-1.2766014695014951,0.10809212423284376,0.8521108528440369,-0.37441968563198225,-0.26601320546058443,-0.34515657819404805,-0.6909451384615772,1.4259232175539633,-0.669425307622448,-1.1076585925177154,0.014550959390412593,1.7012620006743975,-1.2285586193764149,-0.6002582073516971,-0.4314317511067989,1.7693583929238277,1.3758631261860863
1537693035.0,150,ar4,0.1452,0.0109,0.5225,-1.4818181818181815,-1.1999999999999997,0.7004006288253245,1.1007791592328235,1.7187471997918307,2.029642104482981,-0.8051532773850579,0.0112,0.5423,0.7004006288253245,0.9286896949861828,1.182875283000089,12.415138977703633,2.070414172655586,-2.913121982229426,-1.369357089460669,0.020135725933859837,0.7660568444636113,-0.4370048521320761,-0.34546295189724324,-0.4176228951254905,-0.7407513043331595,1.2562601489633847,-0.7452642621443291,-1.1637824972278277,-0.03131299371380275,1.6382944662628065,-1.2898130601828772,-0.6117279834109564,-0.3446890702338388,1.7257901269910314,1.281721396259044
1537695627.0,150,ar4,0.1788,0.0124,0.5805,-0.6818181818181818,-1.3818181818181818,0.7004006288253245,1.1133455298471828,1.5251945237765647,1.897175954942064,-0.644561322648427,0.0138,0.6074122899645676,0.7004006288253245,0.9286896949861828,1.066531217629755,13.981481015264869,1.864153829182023,-3.097226633659478,-1.5610206527577,-0.15039756218889733,0.5783461548635002,-0.5671846228679017,-0.49701997327057995,-0.5472801089046805,-0.8290784647216212,1.4666858462373,-0.8394345418160996,-1.262654826047523,-0.11351367706774951,1.5415534755909037,-1.3749086055026287,-0.6248078876509264,-0.17219253207630186,1.6469514754346497,1.0964625863927038
1537696285.0,150,ar4,0.1941,0.0124,0.6144,-0.3818181818181819,-1.581818181818182,0.7004006288253245,1.067094304669333,1.4979517672866007,1.8688211283029579,-0.602595909863846,0.0126,0.644330792372986,0.7004006288253245,0.9286896949861828,1.029518162209412,14.25158934723168,1.9149666847684876,-2.993710779745551,-1.4652884437054394,-0.04948266868959787,0.6785597760313998,-0.46473823509574236,-0.3849302630000022,-0.44027330443691864,-0.7135684487142657,1.588609313047397,-0.7419288503172661,-1.173557445460295,-0.030306889646570346,1.6308410388192667,-1.2452421742010493,-0.508062658651099,-0.12819933481751875,1.6278830425397997,1.0495288634461994
