Ctime,Freq,Array,Offset X,Error Offset X,Offset Y,Error Offset Y,Modulus Offset,Elevation,Azimuth,Elevation Sun,Azimuth Sun,Angular Distance
1525661451.0,150,ar4,0.5074,0.0053,0.4151,0.0062,0.6555629412954945,0.8302531251737025,-0.6438519610607082,-1.1595127823013502,4.523852001747734,2.1626949040520684
1525664101.0,150,ar4,0.5282,0.0046,0.4302,0.0045,0.6812248380674327,0.8302531251737025,5.639333346118878,-1.329356663071093,4.290928553190792,2.320077237111456
1525664759.0,150,ar4,0.5198,0.0086,0.4771,0.0084,0.7055610887797031,0.8302531251737025,5.639333346118878,-1.3685894766684998,4.182933613199366,2.3568881084486533
1525666684.0,150,ar4,0.5126,0.0025,0.3919,0.0028,0.6452475261479116,0.8302531251737025,5.639333346118878,-1.4560672800776606,3.500898515946305,2.457156267404382
1525673896.0,150,ar4,0.4626,0.0142,0.4402,0.0167,0.6385724704369896,0.8302531251737025,5.639333346118878,-1.1054257356753117,1.7149880042344872,2.634715672156276
1525674554.0,150,ar4,0.4504,0.019,0.4208,0.0218,0.6163868914894282,0.8302531251737025,5.639333346118878,-1.0617442523429634,1.6855072636604393,2.6274141605599914
1525678518.0,150,ar4,0.4698,0.0128,0.4133,0.0131,0.6257227261335487,0.8302531251737025,-0.6438519610607082,-0.7968159447797376,1.5544681098741557,2.506029716003197
1525683758.0,150,ar4,0.467,0.0292,0.4077,0.0323,0.6199260359107367,0.8302531251737025,5.639333346118878,-0.447458561391036,1.4245545759966685,2.226478903340973
1525684415.0,150,ar4,0.4535,0.0132,0.4261,0.0141,0.6222728179825951,0.8302531251737025,-0.6438519610607082,-0.4039964157834038,1.4089372991626055,2.186725672520598
1525695759.0,150,ar4,0.4651,0.0166,0.7396,0.0172,0.8736853953225955,0.6995279641993273,2.167175332201359,0.31560421860345556,1.0814227072496956,1.0015774377422817
1525700309.0,150,ar4,1.1007,0.0121,1.654,0.0135,1.9867703667006913,0.6995279641993273,2.167175332201359,0.5683835298519677,0.8696683517113555,1.023228211014657
1525701624.0,150,ar4,1.1401,0.0173,1.6239,0.0194,1.984157055275615,0.6995279641993273,2.167175332201359,0.6333794474118705,0.7915411597780212,1.046411122995266
1525702300.0,150,ar4,1.2036,0.0183,1.8421,0.0171,2.200451174191329,0.6995279641993273,2.167175332201359,0.6648566424099117,0.7476539561376642,1.0610317580269624
1525702958.0,150,ar4,1.1178,0.0149,1.795,0.0139,2.114592594331116,0.6995279641993273,2.167175332201359,0.6940529862377264,0.7023076500374281,1.0769319807655482
1525703615.0,150,ar4,1.199,0.016,1.6959,0.0138,2.076939529692668,0.6995279641993273,2.167175332201359,0.7216363143898463,0.6543147206577342,1.0943758706894418
1525704930.0,150,ar4,1.1718,0.0077,1.7063,0.0065,2.069921479187073,0.6995279641993273,2.167175332201359,0.7714920241691829,0.5497287247902424,1.1336879448047226
1525717055.0,150,ar4,-0.2891,0.017,2.0262,0.0165,2.0467206086811163,0.6995279641993273,4.104490801915064,0.7311233001766361,5.648495555292608,1.1094371774211111
1525718369.0,150,ar4,-0.246,0.0207,1.9549,0.0214,1.9703172358785273,0.6995279641993273,4.104490801915064,0.6755375869225254,5.5532964623793335,1.0755206172164447
1525720359.0,150,ar4,-0.2068,0.0089,2.5803,0.0091,2.588573802308908,0.6995279641993273,4.104490801915064,0.5804818177242053,5.428791512184563,1.036509497640315
1525727574.0,150,ar4,0.424,0.0168,1.2841,0.0162,1.3522902092376474,0.6995279641993273,4.104490801915064,0.1690509936471818,5.117462150622202,1.0384256399133018
1525730165.0,150,ar4,0.3943,0.0172,0.9297,0.0157,1.0098586930853246,0.6995279641993273,4.104490801915064,0.0069310938584992154,5.038419956428883,1.0933995524816482
1525730822.0,150,ar4,0.3493,0.0166,0.8601,0.0166,0.9283224116652575,0.6995279641993273,4.104490801915064,-0.03488952769674758,5.02000375533591,1.1112687358319826
1525732137.0,150,ar4,0.35,0.0083,0.7641,0.0084,0.8404456020469141,0.6995279641993273,4.104490801915064,-0.11929915733202547,4.9846884972872045,1.1512968011496318
1525735706.0,150,ar4,0.676,0.0047,0.3635,0.0044,0.7675338754739103,0.6995279641993273,0.927991563285385,-0.3521352048185784,4.896183118425858,2.358252389857877
1525744027.0,150,ar4,0.7137,0.0142,0.3709,0.0153,0.8043223856141268,0.6995279641993273,0.927991563285385,-0.9065455093921684,4.687364236222858,2.67136295729644
1525744684.0,150,ar4,0.7155,0.0255,0.3124,0.0272,0.7807265910675772,0.6995279641993273,0.927991563285385,-0.9505212972838679,4.66670279851098,2.671898154819797
1525745341.0,150,ar4,0.6424,0.0125,0.3974,0.0143,0.7553836905837986,0.6995279641993273,0.927991563285385,-0.9944537408496134,4.644459193413651,2.6677015282083913
1525750584.0,150,ar4,0.681,0.0239,0.2217,0.0252,0.7161786718410428,0.6995279641993273,0.927991563285385,-1.336943679745977,4.296617067292928,2.4965705803781266
1525755254.0,150,ar4,0.7751,0.0022,0.3585,0.0026,0.8539919554656238,0.6995279641993273,5.343674570831039,-1.42100992397718,2.3062059170864093,2.4191749252021832
1525762967.0,150,ar4,0.6919,0.012,0.4826,0.0125,0.8435806837523011,0.6995279641993273,5.343674570831039,-0.9284638011805728,1.6041704660046623,2.67785494570487
1525766881.0,150,ar4,0.6792,0.0104,0.5415,0.011,0.8686396778872123,0.6995279641993273,5.343674570831039,-0.6666189987005914,1.49758042656017,2.5988589057742812
