Ctime,Freq,Array,Offset X,Error Offset X,Offset Y,APEX T,APEX T 2 hr ago,Elevation 2 hr ago,Azimuth 2 hr ago,Angular Distance 2 hr ago,Azimuth Sun 2 hr ago,Elevation Sun 2 hr ago,Error Offset Y,Modulus Offset,Elevation,Azimuth,T_Pan_R8_6,T_Pan_R8_3,T_Pan_R7_8,T_Pan_R7_5,T_Pan_R7_3,T_Pan_R6_6,T_Pan_R6_3,T_Pan_R5_9,T_Pan_R5_5Lo,T_Pan_R5_5Hi,T_Pan_R4_6,T_Pan_R4_3,T_Pan_R3_7,T_Pan_R3_5,T_Pan_R3_1,T_Pan_R2_6,T_Pan_R2_2,T_Pan_R1_2,Elevation Sun,Azimuth Sun,Angular Distance
1525683758.0,150,ar4,0.467,0.0292,0.4077,-6.836363636363637,-6.545454545454546,0.8302531251737025,2.178170906488923,1.8228791173005192,1.6122360293072795,-0.9280050609342175,0.0323,0.6199260359107367,0.8302531251737025,5.639333346118878,-5.286328552381801,-5.636901027480154,-3.553556654688762,-8.092856457884452,-6.5381970671557825,-5.154050331183831,-4.295749422540189,-5.712917592502561,-5.237788745957936,-5.2813971471939105,-5.565562322215797,-4.100652889947637,-5.6034699622524835,-6.081353863817185,-4.721807358105689,-3.0736301648757296,-5.947821932446181,-5.290945347660987,-0.447458561391036,1.4245545759966685,2.2264789033409733
1525684415.0,150,ar4,0.4535,0.0132,0.4261,-7.172727272727272,-6.872727272727272,0.8302531251737025,2.178170906488923,1.7869440497378692,1.5917864298394035,-0.884042923223709,0.0141,0.6222728179825951,0.8302531251737025,-0.6438519610607082,-5.2619346700655685,-5.611224607557448,-3.537047877829885,-8.07748578364156,-6.51973967063972,-5.1418156414647145,-4.279606698306764,-5.701666138739011,-5.2307180763814864,-5.273898938418335,-5.557398722025219,-4.099806380574148,-5.608749747077171,-6.081502791153556,-4.716732422824321,-3.0878433815625628,-5.9502986712840915,-5.293232798755926,-0.4039964157834038,1.4089372991626057,2.1867256725205984
1525695759.0,150,ar4,0.4651,0.0166,0.7396,-5.199999999999999,-7.1,0.8302531251737025,2.178170906488923,1.2317270177603685,1.3066272582924998,-0.13292101189850647,0.0172,0.8736853953225955,0.6995279641993273,2.167175332201359,4.224186851466261,6.510040338942327,5.565481745098617,3.076249289078347,5.543871025317807,4.93891087195026,8.259474356042407,-1.2680804485602164,6.755953629534358,6.289378203100791,1.1088322540848403,5.167544898372173,-3.697104086200851,-3.3613522422312285,-1.8353627643087946,-1.2306954661829748,-3.9066402647104406,-3.4228687032173046,0.3156042186034556,1.0814227072496956,1.0015774377422817
1525700309.0,150,ar4,1.1007,0.0121,1.6540000000000001,-2.5727272727272728,-7.372727272727272,0.8302531251737025,2.178170906488923,1.0785298130241783,1.175200903696792,0.15526438644884366,0.0135,1.9867703667006915,0.6995279641993273,2.167175332201359,15.026709521917583,18.964073859650405,15.004433700688766,14.399375847011877,18.1331701829419,16.026225736777008,21.838022629162065,8.984076245188398,19.057563588203916,18.568137813071072,14.225250049893564,21.09592713024052,4.212566876786743,11.82025650240073,22.274292215402006,4.399017103410925,14.920317288220122,6.6395543740166145,0.5683835298519677,0.8696683517113555,1.023228211014657
1525701624.0,150,ar4,1.1401,0.0173,1.6239,-2.1999999999999997,-6.990909090909091,0.8302531251737025,2.178170906488923,1.046905990457709,1.1307265952035144,0.2357173171401561,0.0194,1.984157055275615,0.6995279641993273,2.167175332201359,15.62078387133574,19.451473401816365,15.586016383205674,14.841413367520467,18.94083827765147,16.590615312461114,22.723178652867453,10.35706346121956,19.804621293807855,19.243084377749717,15.529986382094139,22.588649172884082,6.479128861961624,13.549334924017801,24.541748663064283,6.045470944203328,17.697943486582627,10.1289999141574,0.6333794474118705,0.7915411597780212,1.046411122995266
1525702300.0,150,ar4,1.2036,0.0183,1.8421,-1.8909090909090909,-6.3,0.6995279641993273,2.178170906488923,1.014614986510823,1.1063323368556737,0.27641645710744633,0.0171,2.200451174191329,0.6995279641993273,2.167175332201359,15.855837626417344,19.578188336169145,15.884193112865443,15.001755166959885,19.147489631624314,16.840155696684064,23.026097839933435,11.111346318818372,20.120695905090336,19.529991245740927,16.13767950442389,23.144476343051178,7.656710139899233,14.543750868622073,25.492188397578403,6.946914474950197,19.09158223727325,12.236891213989933,0.6648566424099117,0.7476539561376642,1.0610317580269624
1525702958.0,150,ar4,1.1178,0.0149,1.795,-1.8636363636363633,-5.199999999999999,0.6995279641993273,2.178170906488923,1.0099843108163493,1.081461402510136,0.31554514187001526,0.0139,2.114592594331116,0.6995279641993273,2.167175332201359,16.08023390584934,19.584482093451296,16.095242793409852,15.026902561376442,19.259700586667535,16.962244758933547,23.198952620991143,11.59312727828947,20.153323514616016,19.59392422241888,16.340278351753284,23.347732997658714,8.243096932091458,15.04557485557795,26.059033546652127,7.779179398164513,19.93385829898219,13.325194072658519,0.6940529862377264,0.7023076500374281,1.0769319807655482
1525703615.0,150,ar4,1.199,0.016,1.6959,-1.3363636363636362,-4.372727272727273,0.6995279641993273,2.178170906488923,1.007298220058905,1.055416254312779,0.35408719614748696,0.0138,2.0769395296926683,0.6995279641993273,2.167175332201359,16.27833824683906,19.51343312949734,16.305933814773095,14.927437060779612,19.11716808893206,16.961150697733803,23.023160949893672,12.02468603566642,19.959473160910793,19.43674512874783,16.379042821417507,23.233078813535293,8.774309634332766,15.33135406047935,26.15995648923537,8.58890355601746,20.486998870623964,14.115597994337609,0.7216363143898463,0.6543147206577342,1.0943758706894418
1525704930.0,150,ar4,1.1718,0.0077,1.7063,-0.9181818181818181,-3.6363636363636362,0.6995279641993273,2.178170906488923,1.007789981406616,0.99919845814737,0.4294289005005061,0.0065,2.069921479187073,0.6995279641993273,2.167175332201359,16.250272047015617,18.720974021216993,16.312207918646624,14.143644908534867,18.088004202279926,16.29020307945758,21.845875346039083,12.499579632532082,18.96772409033526,18.463629040328538,15.85099573940285,22.330286638064347,9.69655884095266,15.174347250961391,25.40352101017266,9.974456252772958,20.521463896568026,15.024371151250243,0.7714920241691829,0.5497287247902424,1.1336879448047226
1525717055.0,150,ar4,-0.2891,0.017,2.0262,-0.18181818181818182,-0.027272727272727258,1.0471975511965976,2.178170906488923,1.0492716792346939,0.06561409196913696,0.8733461822051211,0.0165,2.0467206086811163,0.6995279641993273,4.104490801915063,17.980505004115944,21.873932773675563,20.11797185796989,14.17471133167909,15.173170956074241,17.396799593899868,17.86042335911762,20.809704805770334,18.259421700035954,18.183935520364958,18.647018748529526,18.35386258248199,20.78533450219919,17.943367855675707,14.73508660280058,24.509620127453537,13.116433013790111,12.591640285180612,0.7311233001766361,5.648495555292608,1.1094371774211111
